experiment_id,timestamp,performance,gpu,system,monitoring_duration
baseline_mmlu_kv512_bs1_rep0_120758,2025-06-08T12:10:03.111072,"{'success': True, 'ttft_ms': 509.6631050109863, 'tpot_ms': 372.2066673578001, 'throughput_tokens_per_sec': 2.68275303691955, 'total_time_sec': 95.4243631362915, 'tokens_generated': 256, 'model_name': 'NousResearch/Llama-2-7b-hf', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 512, 'max_new_tokens': 256, 'use_baseline': True, 'dataset': 'mmlu'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 10155.95947265625, 'average_memory_mb': 9911.45426509338, 'sample_count': 845}, 'total_peak_memory_mb': 10155.95947265625}","{'peak_cpu_percent': 24.5, 'average_cpu_percent': 8.918085106382978, 'peak_memory_percent': 30.1, 'peak_memory_used_gb': 19.215839385986328, 'sample_count': 94}",95.4364755153656
baseline_mmlu_kv512_bs4_rep0_121003,2025-06-08T12:16:07.046273,"{'success': False, 'error_message': 'probability tensor contains either `inf`, `nan` or element < 0'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 9522.50048828125, 'average_memory_mb': 9522.50048828125, 'sample_count': 1994}, 'total_peak_memory_mb': 9522.50048828125}","{'peak_cpu_percent': 80.1, 'average_cpu_percent': 57.958108108108114, 'peak_memory_percent': 47.5, 'peak_memory_used_gb': 30.293128967285156, 'sample_count': 222}",225.54812145233154
baseline_mmlu_kv512_bs8_rep0_121607,2025-06-08T12:21:45.881338,"{'success': True, 'ttft_ms': 2769.8605060577393, 'tpot_ms': 1244.2939449759092, 'throughput_tokens_per_sec': 0.799835487466919, 'total_time_sec': 320.0658185482025, 'tokens_generated': 256, 'model_name': 'NousResearch/Llama-2-7b-hf', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 512, 'max_new_tokens': 256, 'use_baseline': True, 'dataset': 'mmlu'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 3961.9072265625, 'average_memory_mb': 3258.4724773456805, 'sample_count': 2833}, 'total_peak_memory_mb': 3961.9072265625}","{'peak_cpu_percent': 28.8, 'average_cpu_percent': 8.355873015873016, 'peak_memory_percent': 46.7, 'peak_memory_used_gb': 29.78118896484375, 'sample_count': 315}",320.085818529129
baseline_mmlu_kv1024_bs1_rep0_122145,2025-06-08T12:25:06.862434,"{'success': True, 'ttft_ms': 942.3863887786865, 'tpot_ms': 721.5861423342835, 'throughput_tokens_per_sec': 1.3841664681100467, 'total_time_sec': 184.9488525390625, 'tokens_generated': 256, 'model_name': 'NousResearch/Llama-2-7b-hf', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 256, 'use_baseline': True, 'dataset': 'mmlu'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 6551.81884765625, 'average_memory_mb': 6305.8321672648135, 'sample_count': 1637}, 'total_peak_memory_mb': 6551.81884765625}","{'peak_cpu_percent': 38.2, 'average_cpu_percent': 8.44065934065934, 'peak_memory_percent': 45.0, 'peak_memory_used_gb': 28.74999237060547, 'sample_count': 182}",184.97695231437683
baseline_mmlu_kv1024_bs4_rep0_122506,2025-06-08T12:30:22.834482,"{'success': True, 'ttft_ms': 2339.3683433532715, 'tpot_ms': 1162.3867156458837, 'throughput_tokens_per_sec': 0.8569038203988061, 'total_time_sec': 298.7499809265137, 'tokens_generated': 256, 'model_name': 'NousResearch/Llama-2-7b-hf', 'precision': 'fp16', 'batch_size': 4, 'kv_cache_length': 1024, 'max_new_tokens': 256, 'use_baseline': True, 'dataset': 'mmlu'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 9220.62841796875, 'average_memory_mb': 6059.710446263946, 'sample_count': 2644}, 'total_peak_memory_mb': 9220.62841796875}","{'peak_cpu_percent': 28.3, 'average_cpu_percent': 8.316666666666666, 'peak_memory_percent': 45.0, 'peak_memory_used_gb': 28.728973388671875, 'sample_count': 294}",298.7946436405182
baseline_mmlu_kv1024_bs8_rep0_123022,2025-06-08T12:34:52.078230,"{'success': True, 'ttft_ms': 3922.121047973633, 'tpot_ms': 958.7298337151022, 'throughput_tokens_per_sec': 1.030599012827496, 'total_time_sec': 248.39922881126404, 'tokens_generated': 256, 'model_name': 'NousResearch/Llama-2-7b-hf', 'precision': 'fp16', 'batch_size': 8, 'kv_cache_length': 1024, 'max_new_tokens': 256, 'use_baseline': True, 'dataset': 'mmlu'}","{'total_devices': 1, 'device_0': {'peak_memory_mb': 9904.05712890625, 'average_memory_mb': 9187.905849689349, 'sample_count': 2198}, 'total_peak_memory_mb': 9904.05712890625}","{'peak_cpu_percent': 19.1, 'average_cpu_percent': 8.39672131147541, 'peak_memory_percent': 45.4, 'peak_memory_used_gb': 29.00757598876953, 'sample_count': 244}",248.44736218452454
baseline_mmlu_kv2048_bs1_rep0_123452,2025-06-08T12:34:52.443578,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -140365414: [-140365414]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs4_rep0_123452,2025-06-08T12:34:52.763205,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -164806246: [-164806246]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs8_rep0_123452,2025-06-08T12:34:53.054366,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -75507302: [-75507302]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs1_rep1_123453,2025-06-08T12:34:53.340852,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -75507302: [-75507302]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs4_rep1_123453,2025-06-08T12:34:53.633284,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -170810982: [-170810982]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs8_rep1_123453,2025-06-08T12:34:53.928380,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -86091366: [-86091366]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs1_rep1_123453,2025-06-08T12:34:54.220380,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -102301286: [-102301286]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs4_rep1_123454,2025-06-08T12:34:54.572070,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -75507302: [-75507302]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs8_rep1_123454,2025-06-08T12:34:54.910287,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -113966694: [-113966694]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs1_rep1_123454,2025-06-08T12:34:55.316212,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -92077670: [-92077670]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs4_rep1_123455,2025-06-08T12:34:55.615184,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -86091366: [-86091366]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs8_rep1_123455,2025-06-08T12:34:55.906698,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -165527142: [-165527142]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs1_rep2_123455,2025-06-08T12:34:56.197885,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -75507302: [-75507302]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs4_rep2_123456,2025-06-08T12:34:56.496124,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -92077670: [-92077670]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv512_bs8_rep2_123456,2025-06-08T12:34:57.000954,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -102661734: [-102661734]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs1_rep2_123457,2025-06-08T12:34:57.687283,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -80225894: [-80225894]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs4_rep2_123457,2025-06-08T12:34:58.005860,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -140885606: [-140885606]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv1024_bs8_rep2_123458,2025-06-08T12:34:58.301088,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -92077670: [-92077670]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs1_rep2_123458,2025-06-08T12:34:58.591701,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -140365414: [-140365414]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs4_rep2_123458,2025-06-08T12:34:58.935830,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -113966694: [-113966694]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
baseline_mmlu_kv2048_bs8_rep2_123458,2025-06-08T12:34:59.233328,"{'success': False, 'error_message': 'Trying to create tensor with negative dimension -130563686: [-130563686]'}","{'total_devices': 1, 'total_peak_memory_mb': 0}",{'message': 'No system data collected'},0.0
