experiment_id,timestamp,performance,gpu,system,monitoring_duration
fullkvcache_trec_kv128_bs1_rep0_20250622_113326,2025-06-22T11:33:46.204173,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 133.14925115935654, 'throughput_tokens_per_sec': 7.491407385535073, 'total_time_sec': 6.674313306808472, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_trec_kv1024_bs1_rep0_20250622_113326,2025-06-22T11:34:03.679765,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.06580983376016, 'throughput_tokens_per_sec': 8.02668109654965, 'total_time_sec': 6.229224681854248, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv128_bs1_rep0_20250622_113326,2025-06-22T11:34:21.242795,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 119.11289254013373, 'throughput_tokens_per_sec': 8.352081341544144, 'total_time_sec': 5.986531734466553, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv1024_bs1_rep0_20250622_113326,2025-06-22T11:34:38.634160,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.50444649676886, 'throughput_tokens_per_sec': 7.999081221254074, 'total_time_sec': 6.250717878341675, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv128_bs1_rep0_20250622_113326,2025-06-22T11:34:51.260221,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.86396471659343, 'throughput_tokens_per_sec': 7.909204426165189, 'total_time_sec': 2.0229594707489014, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv1024_bs1_rep0_20250622_113326,2025-06-22T11:35:02.564799,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.87192789713544, 'throughput_tokens_per_sec': 7.9087374466849445, 'total_time_sec': 2.0230789184570312, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
fullkvcache_trec_kv128_bs1_rep1_20250622_113326,2025-06-22T11:35:17.994862,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 117.79918184085768, 'throughput_tokens_per_sec': 8.44286556900729, 'total_time_sec': 5.922159910202026, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_trec_kv1024_bs1_rep1_20250622_113326,2025-06-22T11:35:34.605978,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 116.18910225070252, 'throughput_tokens_per_sec': 8.556858426776676, 'total_time_sec': 5.843266010284424, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv128_bs1_rep1_20250622_113326,2025-06-22T11:35:50.594584,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 129.01415824890137, 'throughput_tokens_per_sec': 7.725952725680292, 'total_time_sec': 6.471693754196167, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv1024_bs1_rep1_20250622_113326,2025-06-22T11:36:07.801997,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.80157930023815, 'throughput_tokens_per_sec': 7.980492629748191, 'total_time_sec': 6.26527738571167, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv128_bs1_rep1_20250622_113326,2025-06-22T11:36:19.777878,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.63074366251628, 'throughput_tokens_per_sec': 7.922905553730865, 'total_time_sec': 2.019461154937744, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv1024_bs1_rep1_20250622_113326,2025-06-22T11:36:32.390536,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 124.02681350708009, 'throughput_tokens_per_sec': 7.958606481458422, 'total_time_sec': 2.010402202606201, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
fullkvcache_trec_kv128_bs1_rep2_20250622_113326,2025-06-22T11:36:48.479732,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 117.90863056572115, 'throughput_tokens_per_sec': 8.43522679924686, 'total_time_sec': 5.927522897720337, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_trec_kv1024_bs1_rep2_20250622_113326,2025-06-22T11:37:04.446790,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 123.40955539625517, 'throughput_tokens_per_sec': 8.068331389943856, 'total_time_sec': 6.197068214416504, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'trec', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv128_bs1_rep2_20250622_113326,2025-06-22T11:37:21.190929,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 122.36391476222447, 'throughput_tokens_per_sec': 8.135595219192624, 'total_time_sec': 6.145831823348999, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_triviaqa_kv1024_bs1_rep2_20250622_113326,2025-06-22T11:37:38.903146,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 131.1440292669802, 'throughput_tokens_per_sec': 7.603339919274843, 'total_time_sec': 6.576057434082031, 'tokens_generated': 50, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'triviaqa', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv128_bs1_rep2_20250622_113326,2025-06-22T11:37:52.431272,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 143.3991018931071, 'throughput_tokens_per_sec': 6.953539189622836, 'total_time_sec': 2.3009865283966064, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 128, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
fullkvcache_samsum_kv1024_bs1_rep2_20250622_113326,2025-06-22T11:38:05.227680,"{'success': True, 'ttft_ms': 150.0, 'tpot_ms': 127.36937840779622, 'throughput_tokens_per_sec': 7.76495226978569, 'total_time_sec': 2.0605406761169434, 'tokens_generated': 16, 'model_name': 'C:/Users/Administrator/mistral_models/7B-Instruct-v0.3', 'precision': 'fp16', 'batch_size': 1, 'kv_cache_length': 1024, 'max_new_tokens': 50, 'use_fullkvcache': True, 'dataset': 'samsum', 'repetition': 0}",{},{},0
